zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,latitude,longitude,country,decommissioned,estimated_population,notes
26217,STANDARD,Diana,,,WV,Webster County,38.58,-80.42,US,0,0,
26218,STANDARD,French Creek,Alexander,,WV,Upshur County,38.83,-80.25,US,0,1907,
26222,STANDARD,Hacker Valley,Replete,,WV,Webster County,38.67,-80.39,US,0,0,
26224,STANDARD,Helvetia,,,WV,Randolph County,38.72,-80.18,US,0,0,
26228,STANDARD,Kanawha Head,,,WV,Upshur County,38.76,-80.37,US,0,0,
26230,STANDARD,Pickens,,,WV,Randolph County,38.65,-80.19,US,0,0,
26234,STANDARD,Rock Cave,,,WV,Upshur County,38.83,-80.34,US,0,889,
26236,STANDARD,Selbyville,,,WV,Upshur County,38.71,-80.3,US,0,0,
26237,STANDARD,Tallmansville,,,WV,Upshur County,38.83,-80.15,US,0,0,
26238,STANDARD,Volga,,,WV,Barbour County,39.06,-80.11,US,0,698,
26241,STANDARD,Elkins,,,WV,Randolph County,38.92,-79.85,US,0,11523,
26250,STANDARD,Belington,,,WV,Barbour County,39.02,-79.93,US,0,3795,
26253,STANDARD,Beverly,,,WV,Randolph County,38.84,-79.87,US,0,2512,
26254,STANDARD,Bowden,Wymer,,WV,Randolph County,38.94,-79.63,US,0,0,
26257,STANDARD,Coalton,,,WV,Randolph County,38.9,-80,US,0,617,
26260,STANDARD,Davis,Canaan Valley,,WV,Tucker County,39.13,-79.46,US,0,1003,
26261,STANDARD,Richwood,,,WV,Nicholas County,38.22,-80.53,US,0,1725,
26263,STANDARD,Dryfork,,,WV,Randolph County,38.94,-79.43,US,0,0,
26264,STANDARD,Durbin,,,WV,Pocahontas County,38.54,-79.82,US,0,478,
26266,STANDARD,Upperglade,,,WV,Webster County,38.43,-80.5,US,0,0,
26267,STANDARD,Ellamore,,,WV,Randolph County,38.93,-80.08,US,0,0,
26268,STANDARD,Glady,,,WV,Randolph County,38.81,-79.7,US,0,0,
26269,STANDARD,Hambleton,,,WV,Tucker County,39.08,-79.64,US,0,828,
26270,STANDARD,Harman,,,WV,Randolph County,38.92,-79.52,US,0,643,
26271,STANDARD,Hendricks,,,WV,Tucker County,39.07,-79.63,US,0,0,
26273,STANDARD,Huttonsville,,,WV,Randolph County,38.71,-79.97,US,0,667,
26276,STANDARD,Kerens,,,WV,Randolph County,39.02,-79.75,US,0,0,
26278,STANDARD,Mabie,,,WV,Randolph County,38.81,-80.03,US,0,0,
26280,STANDARD,Mill Creek,,,WV,Randolph County,38.73,-79.97,US,0,1466,
26282,STANDARD,Monterville,,,WV,Randolph County,38.51,-80.16,US,0,0,
26283,STANDARD,Montrose,,,WV,Tucker County,39.06,-79.81,US,0,1272,
26287,STANDARD,Parsons,Saint George,,WV,Tucker County,39.09,-79.67,US,0,2533,
26288,STANDARD,Webster Springs,"Curtin, Parcoal, Webster Spgs",,WV,Webster County,38.47,-80.41,US,0,2477,
26289,STANDARD,Red Creek,,,WV,Tucker County,39,-79.5,US,0,0,
26291,STANDARD,Slatyfork,,,WV,Pocahontas County,38.38,-80.06,US,0,0,
26292,STANDARD,Thomas,,,WV,Tucker County,39.14,-79.49,US,0,604,
26293,STANDARD,Valley Bend,,,WV,Randolph County,38.79,-79.92,US,0,563,
26294,STANDARD,Valley Head,Mingo,,WV,Randolph County,38.52,-80.03,US,0,541,
26301,STANDARD,Clarksburg,"Country Club, Dawmont, Laurel Park, Laurel Valley, Nutter Fort, Stonewood",Eastpointe,WV,Harrison County,39.28,-80.33,US,0,21971,
26320,STANDARD,Alma,Wilbur,,WV,Tyler County,39.42,-80.82,US,0,614,
26321,STANDARD,Alum Bridge,Vadis,,WV,Lewis County,39.04,-80.69,US,0,0,
26325,STANDARD,Auburn,,,WV,Ritchie County,39.09,-80.85,US,0,0,
26327,STANDARD,Berea,,Pullman,WV,Ritchie County,39.13,-80.92,US,0,0,
26330,STANDARD,Bridgeport,"Brushy Fork, Lake Ridge, Maple Lake",Eastpointe,WV,Harrison County,39.29,-80.25,US,0,12642,
26335,STANDARD,Burnsville,Gem,,WV,Braxton County,38.85,-80.65,US,0,918,
26337,STANDARD,Cairo,,,WV,Ritchie County,39.2,-81.15,US,0,923,
26338,STANDARD,Camden,,,WV,Lewis County,39.09,-80.61,US,0,517,
26339,STANDARD,Center Point,,,WV,Doddridge County,39.42,-80.62,US,0,0,
26342,STANDARD,Coxs Mills,,,WV,Gilmer County,39,-80.86,US,0,0,
26343,STANDARD,Crawford,,,WV,Lewis County,38.83,-80.4,US,0,0,
26346,STANDARD,Ellenboro,Highland,,WV,Ritchie County,39.26,-81.05,US,0,791,
26347,STANDARD,Flemington,"Astor, Brownton, Wendel",,WV,Taylor County,39.26,-80.12,US,0,1506,
26348,STANDARD,Folsom,,,WV,Wetzel County,39.46,-80.52,US,0,0,
26351,STANDARD,Glenville,"Baldwin, Gilmer",,WV,Gilmer County,38.93,-80.83,US,0,2085,
26354,STANDARD,Grafton,"Belgium, Harmony Grove, Haymond, White Day",,WV,Taylor County,39.34,-80.01,US,0,8122,
26362,STANDARD,Harrisville,"Hazelgreen, Mahone, Newberne",,WV,Ritchie County,39.21,-81.04,US,0,2416,
26372,STANDARD,Horner,,,WV,Lewis County,38.95,-80.36,US,0,590,
26374,STANDARD,Independence,,Newburg,WV,Preston County,39.44,-79.88,US,0,1129,
26376,STANDARD,Ireland,Wildcat,,WV,Braxton County,38.75,-80.47,US,0,0,
26377,STANDARD,Jacksonburg,"Alvy, Lima",,WV,Wetzel County,39.53,-80.65,US,0,477,
26378,STANDARD,Jane Lew,Kincheloe,,WV,Lewis County,39.1,-80.4,US,0,3572,
26384,STANDARD,Linn,,,WV,Gilmer County,38.96,-80.71,US,0,0,
26385,STANDARD,Lost Creek,Mcwhorter,,WV,Harrison County,39.15,-80.35,US,0,3115,
26386,STANDARD,Lumberport,Dola,,WV,Harrison County,39.37,-80.34,US,0,1923,
26404,STANDARD,Meadowbrook,,,WV,Harrison County,39.33,-80.32,US,0,0,
26405,STANDARD,Moatsville,Kasson,,WV,Barbour County,39.22,-79.9,US,0,956,
26408,STANDARD,Mount Clare,Craigmoore,,WV,Harrison County,39.2,-80.26,US,0,2425,
26410,STANDARD,Newburg,,,WV,Preston County,39.38,-79.85,US,0,818,
26411,STANDARD,New Milton,,,WV,Doddridge County,39.17,-80.71,US,0,494,
26412,STANDARD,Orlando,,,WV,Lewis County,38.89,-80.56,US,0,0,
26415,STANDARD,Pennsboro,"Greenwood, Mountain, Toll Gate",,WV,Ritchie County,39.28,-80.97,US,0,2505,
26416,STANDARD,Philippi,,,WV,Barbour County,39.15,-80.04,US,0,5257,
26419,STANDARD,Pine Grove,Hastings,,WV,Wetzel County,39.56,-80.68,US,0,920,
26421,STANDARD,Pullman,,,WV,Ritchie County,39.18,-80.94,US,0,0,
26425,STANDARD,Rowlesburg,Manheim,,WV,Preston County,39.34,-79.67,US,0,856,
26426,STANDARD,Salem,"Bristol, Industrial, Wolf Summit",,WV,Harrison County,39.28,-80.56,US,0,5185,
26430,STANDARD,Sand Fork,Stouts Mills,,WV,Gilmer County,38.91,-80.74,US,0,0,
26431,STANDARD,Shinnston,"Adamsville, Francis Mine, Owings, Peora, Pine Bluff, Saltwell",,WV,Harrison County,39.39,-80.29,US,0,4616,
26437,STANDARD,Smithfield,,,WV,Wetzel County,39.49,-80.56,US,0,0,
26440,STANDARD,Thornton,,,WV,Taylor County,39.34,-79.93,US,0,895,
26443,STANDARD,Troy,,,WV,Gilmer County,39.08,-80.75,US,0,0,
26444,STANDARD,Tunnelton,,,WV,Preston County,39.39,-79.74,US,0,2460,
26447,STANDARD,Walkersville,Roanoke,,WV,Lewis County,38.84,-80.5,US,0,851,
26448,STANDARD,Wallace,,,WV,Harrison County,39.4,-80.48,US,0,1036,
26451,STANDARD,West Milford,,,WV,Harrison County,39.2,-80.4,US,0,666,
26452,STANDARD,Weston,Valley Chapel,,WV,Lewis County,39.04,-80.46,US,0,7915,
26456,STANDARD,West Union,Blandville,,WV,Doddridge County,39.29,-80.77,US,0,2708,
26461,STANDARD,Wilsonburg,Clarksburg,,WV,Harrison County,39.29,-80.39,US,1,0,Converted Decommisioned Zipcodes
26501,STANDARD,Morgantown,Westover,,WV,Monongalia County,39.63,-79.94,US,0,13220,
26505,STANDARD,Morgantown,"Booth, Everettville, Star City",Sabraton,WV,Monongalia County,39.63,-79.94,US,0,16568,
26506,STANDARD,Morgantown,,,WV,Monongalia County,39.63,-79.94,US,0,0,
26508,STANDARD,Morgantown,Little Falls,"Cheat Lake, Sabraton",WV,Monongalia County,39.63,-79.94,US,0,22694,
26519,STANDARD,Albright,,Kingwood,WV,Preston County,39.49,-79.63,US,0,1311,
26521,STANDARD,Blacksville,,,WV,Monongalia County,39.71,-80.21,US,0,463,
26524,STANDARD,Bretz,,,WV,Preston County,39.55,-79.81,US,0,0,
26525,STANDARD,Bruceton Mills,"Brandonville, Bruceton Mls, Cuzzart, Hazelton",,WV,Preston County,39.65,-79.64,US,0,4111,
26537,STANDARD,Kingwood,,,WV,Preston County,39.47,-79.68,US,0,4577,
26541,STANDARD,Maidsville,Core,,WV,Monongalia County,39.7,-79.99,US,0,2091,
26542,STANDARD,Masontown,Cascade,,WV,Preston County,39.55,-79.8,US,0,1818,
26546,STANDARD,Pursglove,,,WV,Monongalia County,39.7,-80.06,US,0,0,
26547,STANDARD,Reedsville,,,WV,Preston County,39.51,-79.8,US,0,2033,
26554,STANDARD,Fairmont,"Jordan, Monongah, Pleasant Valley, Pleasant Vly, White Hall",Bellview,WV,Marion County,39.48,-80.14,US,0,30980,
26560,STANDARD,Baxter,,,WV,Marion County,39.53,-80.14,US,0,0,
26561,STANDARD,Big Run,,,WV,Wetzel County,39.59,-80.57,US,0,0,
26562,STANDARD,Burton,Coburn,,WV,Wetzel County,39.66,-80.39,US,0,532,
26568,STANDARD,Enterprise,,,WV,Harrison County,39.41,-80.27,US,0,555,
26570,STANDARD,Fairview,,,WV,Monongalia County,39.59,-80.24,US,0,2592,
26571,STANDARD,Farmington,,,WV,Marion County,39.51,-80.25,US,0,1625,
26575,STANDARD,Hundred,,,WV,Wetzel County,39.68,-80.45,US,0,656,
26581,STANDARD,Littleton,"Knob Fork, Wileyville",,WV,Wetzel County,39.69,-80.51,US,0,760,
26582,STANDARD,Mannington,,,WV,Marion County,39.52,-80.34,US,0,3896,
26585,STANDARD,Metz,,,WV,Marion County,39.61,-80.43,US,0,0,
26587,STANDARD,Rachel,,,WV,Marion County,39.52,-80.29,US,0,0,
26588,STANDARD,Rivesville,,,WV,Marion County,39.53,-80.12,US,0,2437,
26590,STANDARD,Wana,Wadestown,,WV,Monongalia County,39.7,-80.31,US,0,574,
26591,STANDARD,Worthington,,,WV,Marion County,39.45,-80.26,US,0,1155,
26601,STANDARD,Sutton,"Centralia, Herold, Newville",,WV,Braxton County,38.66,-80.71,US,0,3056,
26610,STANDARD,Birch River,,,WV,Nicholas County,38.49,-80.75,US,0,795,
26611,STANDARD,Cedarville,Flower,,WV,Gilmer County,38.84,-80.84,US,0,0,
